x,y,y
183.348358,24.795982,0.750000
192.187408,45.169042,0.937500
185.748849,3.310364,1.625000
173.441020,36.677064,0.937500
192.187408,45.169042,0.937500
17.247844,78.573986,0.750000
49.670813,76.975816,0.937500
161.703853,29.164006,0.937500
116.450940,6.591151,1.125000
169.375000,7.281250,2.000000
102.553780,5.260790,1.125000
73.625000,3.281250,1.125000
83.377454,3.281250,1.125000
97.249000,3.281250,1.125000
132.359389,3.281250,1.625000
137.063437,12.242080,0.937500
102.588917,6.662232,1.125000
83.249458,6.715371,1.125000
68.562553,12.629471,0.750000
36.367776,50.374044,1.125000
48.481498,6.503036,1.125000
34.838687,13.346127,1.125000
35.644963,14.314184,1.125000
48.481498,6.503036,1.125000
35.644963,14.314184,1.125000
36.367776,50.374044,1.125000
34.838687,13.346127,1.125000
16.761654,40.707728,0.750000
47.196416,91.263871,0.937500
50.930431,76.951557,0.937500
49.670813,76.975816,0.937500
12.286413,29.414320,0.875000
7.151336,42.975372,0.875000
42.334707,54.068881,0.937500
37.938393,39.945935,0.937500
39.197775,39.911522,0.937500
189.394170,47.559791,0.750000
39.197775,39.911522,0.937500
44.992855,26.302619,0.937500
45.974824,27.091899,0.937500
54.274109,19.948459,0.750000
45.974824,27.091899,0.937500
54.274109,19.948459,0.750000
83.249458,6.715371,1.125000
37.938393,39.945935,0.937500
7.379028,49.944113,0.812500
8.732311,61.174071,0.812500
10.123818,61.006386,0.812500
4.500000,56.625000,0.875000
4.401339,70.486854,0.875000
5.802878,70.496829,0.875000
4.500000,56.625000,0.875000
4.598661,42.763146,0.875000
73.625000,3.281250,1.125000
59.762795,3.281250,1.125000
83.377454,3.281250,1.125000
97.239659,3.281250,1.125000
116.450940,6.591151,1.125000
102.588917,6.662232,1.125000
102.581730,5.260676,1.125000
137.063437,12.242080,0.937500
147.510815,16.798398,0.937500
161.705134,29.167462,0.937500
172.570667,37.775652,0.937500
173.441020,36.677064,0.937500
147.510815,16.798398,0.937500
156.865683,20.420189,0.937500
157.371710,19.113151,0.937500
7.151336,42.975372,0.875000
7.379028,49.944113,0.812500
10.123818,61.006386,0.812500
17.247844,78.573986,0.750000
5.762921,35.915546,0.750000
4.598661,42.763146,0.875000
189.394170,47.559791,0.750000
172.570667,37.775652,0.937500
44.992855,26.302619,0.937500
68.562553,12.629471,0.750000
156.865683,20.420189,0.937500
160.595881,21.864357,0.875000
160.645133,21.878209,0.875000
170.000000,25.500000,0.875000
170.506027,24.192963,0.875000
170.506027,24.192963,0.875000
183.348358,24.795982,0.750000
179.994178,29.369304,0.750000
5.796875,87.500000,0.750000
5.762921,35.915546,0.750000
15.175043,79.971660,0.750000
8.732311,61.174071,0.812500
15.175043,79.971660,0.750000
146.218518,4.682824,1.625000
169.375000,7.281250,2.000000
16.761654,40.707728,0.750000
47.196416,91.263871,0.937500
5.802878,70.496829,0.875000
42.334707,54.068881,0.937500
50.930431,76.951557,0.937500
4.401339,70.486854,0.875000
5.796875,87.500000,0.750000
12.286413,29.414320,0.875000
59.762795,3.281250,1.125000
132.356313,3.281250,1.625000
146.218518,3.281250,1.625000
146.218518,4.682824,1.625000
146.218518,3.281250,1.625000
185.748849,3.310364,1.625000
176.125000,21.358482,0.750000
157.371710,19.113151,0.937500
176.125000,21.358482,0.750000
170.000000,25.500000,0.875000
179.994178,29.369304,0.750000
